year,row_sector,bt_all,exporter_num,importer_num,sector
2010,H,4.12,6,2,3
2011,G,7026.51,6,2,1
2011,L,620.91,6,2,2
2011,H,4.65,6,2,3
1995,G,727.48,7,2,1
1995,L,2.07,7,2,2
1995,H,0.27,7,2,3
1996,G,907.78,7,2,1
1996,L,2.49,7,2,2
1996,H,0.33,7,2,3
1997,G,1200.98,7,2,1
1997,L,3.82,7,2,2
1997,H,0.55,7,2,3
1998,G,923.36,7,2,1
1998,L,1.91,7,2,2
1998,H,0.41,7,2,3
1999,G,530.97,7,2,1
1999,L,1.23,7,2,2
1999,H,0.36,7,2,3
2000,G,696.17,7,2,1
2000,L,1.52,7,2,2
2000,H,0.43,7,2,3
2001,G,682.65,7,2,1
2001,L,1.64,7,2,2
2001,H,0.48,7,2,3
2002,G,581.40,7,2,1
2002,L,1.90,7,2,2
2002,H,0.50,7,2,3
2003,G,497.90,7,2,1
2003,L,1.87,7,2,2
2003,H,0.52,7,2,3
2004,G,621.74,7,2,1
2004,L,2.38,7,2,2
2004,H,0.66,7,2,3
2005,G,724.71,7,2,1
2005,L,2.82,7,2,2
2005,H,0.72,7,2,3
2006,G,1163.65,7,2,1
2006,L,3.93,7,2,2
2006,H,0.81,7,2,3
2007,G,1461.89,7,2,1
2007,L,4.57,7,2,2
2007,H,1.29,7,2,3
2008,G,2178.28,7,2,1
2008,L,9.62,7,2,2
2008,H,1.89,7,2,3
2009,G,2190.61,7,2,1
2009,L,9.11,7,2,2
2009,H,1.85,7,2,3
2010,G,3080.00,7,2,1
2010,L,12.06,7,2,2
2010,H,2.08,7,2,3
2011,G,4310.86,7,2,1
2011,L,12.02,7,2,2
2011,H,2.47,7,2,3
1995,G,30308.71,8,2,1
1995,L,6975.59,8,2,2
1995,H,1598.78,8,2,3
1996,G,33114.97,8,2,1
1996,L,6927.16,8,2,2
1996,H,1644.76,8,2,3
1997,G,34033.63,8,2,1
1997,L,7190.94,8,2,2
1997,H,1757.96,8,2,3
1998,G,33663.74,8,2,1
1998,L,7324.96,8,2,2
1998,H,1744.81,8,2,3
1999,G,30209.95,8,2,1
1999,L,6542.96,8,2,2
1999,H,1526.06,8,2,3
2000,G,36123.62,8,2,1
2000,L,8187.29,8,2,2
2000,H,2078.51,8,2,3
2001,G,35341.49,8,2,1
2001,L,7909.74,8,2,2
2001,H,2202.68,8,2,3
2002,G,31185.61,8,2,1
2002,L,6575.35,8,2,2
2002,H,1678.15,8,2,3
2003,G,32425.15,8,2,1
2003,L,6624.88,8,2,2
2003,H,1785.69,8,2,3
2004,G,42385.69,8,2,1
2004,L,6738.88,8,2,2
2004,H,2094.15,8,2,3
2005,G,48195.86,8,2,1
2005,L,11283.12,8,2,2
2005,H,2873.48,8,2,3
