iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
IND,2002,.793004517410177,.1772150475452536,.0297804350445694,.6781111952603789,.2574135700951645,.0644752346444566,.5033911047116476,.2696997422335622,.2269091530547903
IND,2003,.8017173571412403,.171741283546458,.0265413593123018,.6898395584911668,.2519866734107832,.05817376809805,.5102683936070911,.2585145696606289,.23121703673228
IND,2004,.7999082166265357,.17262937828356,.0274624050899043,.709532779562308,.2360815432437213,.0543856771939707,.5226920024815518,.2540282424800597,.2232797550383885
IND,2005,.7933319584823375,.1786122332280547,.0280558082896077,.7145450547559693,.2327419711201954,.0527129741238354,.5112332045894256,.2576615094592927,.2311052859512818
IND,2006,.8008822839867866,.1731165057214542,.026001210291759,.7209112734689099,.2273986235068049,.0516901030242852,.520343237480128,.2525664836327071,.227090278887165
IND,2007,.8045039901558036,.1702299406961035,.0252660691480928,.7254815735929222,.2220329286195637,.052485497787514,.5293162148575059,.2369617213152787,.2337220638272154
IND,2008,.8026520287732338,.1704645648566446,.0268834063701216,.7355420388969539,.2141008090932208,.0503571520098251,.5317231561726086,.2249595478090006,.2433172960183909
IND,2009,.7997353000400589,.1734396871111883,.0268250128487529,.7320513854200249,.2172934448855419,.0506551696944333,.5287769424410986,.2247219138121521,.2465011437467494
IND,2010,.7942730530086455,.1767440204425271,.0289829265488275,.7422297706289099,.2076066016385975,.0501636277324926,.5331457114633449,.2208241562118554,.2460301323247997
IND,2011,.7909559895412603,.1806137809230804,.0284302295356591,.7246786920399871,.2220204276450205,.0533008803149923,.5148199565144761,.2281209716587659,.2570590718267579
JPN,1995,.7696871400926546,.1731297166852143,.0571831432221311,.437211589907738,.4085198399190917,.1542685701731704,.2986613406898146,.4464086705142302,.2549299887959552
JPN,1996,.7641170345944182,.1774278121240575,.0584551532815243,.4390521531722913,.4042533229856816,.156694523842027,.293611469993757,.4467232094582962,.2596653205479468
JPN,1997,.769553563693908,.1735563052514726,.0568901310546194,.4400767565609769,.4031997936142455,.1567234498247775,.3037658999378371,.4357686354731411,.2604654645890218
JPN,1998,.7561587119358552,.183652275812849,.0601890122512959,.4267797426279943,.4101992705175448,.1630209868544609,.291696573336953,.4411020488781403,.2672013777849067
JPN,1999,.7450279115990699,.1908439097091074,.0641281786918227,.4095304326039306,.4245213307728744,.1659482366231951,.2742153955003778,.4575072126820543,.2682773918175678
JPN,2000,.7497870942433292,.1879642601792949,.0622486455773759,.4047290261031666,.4265966471303286,.1686743267665048,.2752437600754895,.4516865566840901,.2730696832404205
JPN,2001,.7407961303582435,.1937466558218892,.0654572138198671,.401318044267792,.4303575001201061,.168324455612102,.2714107490621367,.4492760921557624,.2793131587821009
JPN,2002,.732771097162061,.1992374501137841,.0679914527241549,.3914882527203278,.4369062336321782,.1716055136474939,.2640428381261821,.4482021061299555,.2877550557438625
JPN,2003,.7338785876694022,.1986495437997556,.0674718685308422,.3876064822180419,.4415709123039784,.1708226054779797,.2645327043719323,.4481891233116427,.2872781723164249
JPN,2004,.7418583709265225,.1943966620655558,.0637449670079218,.3884585515557707,.441032890545659,.1705085578985703,.2694859515297606,.4385498647336419,.2919641837365976
JPN,2005,.7467516743824666,.1908080577994735,.0624402678180599,.3916294963046396,.4376000508643915,.170770452830969,.26816026636781,.4354871456865633,.2963525879456268
JPN,2006,.7575086679942036,.1835290966727053,.0589622353330913,.4013947399249373,.4310607124426594,.1675445476324033,.2767252114935133,.42625822679725,.2970165617092367
JPN,2007,.764780535984477,.1783750248703102,.0568444391452127,.4125076863009412,.4221699059053878,.1653224077936711,.2849072133710943,.4144148225306252,.3006779640982805
JPN,2008,.7665879668948679,.178075647369107,.0553363857360251,.4136834969556684,.4161454106154949,.1701710924288367,.2835515930706667,.4050404318015636,.3114079751277696
JPN,2009,.7423582108089249,.1905595736707053,.0670822155203696,.3787416055622125,.416687196922118,.2045711975156694,.2565008266879563,.387383469061592,.3561157042504516
