iso_i,code,year,k_ppi
AUT,23,2004,119.452773
AUT,23,2005,120.1446525
AUT,23,2006,119.5885198
AUT,23,2007,117.4025902
AUT,23,2008,NA
AUT,23,2009,NA
AUT,23,2010,.
AUT,23,2011,.
AUT,24,1995,100
AUT,24,1996,103.031678
AUT,24,1997,106.6906996
AUT,24,1998,110.6306907
AUT,24,1999,113.1767682
AUT,24,2000,116.8625251
AUT,24,2001,119.0137345
AUT,24,2002,115.7990461
AUT,24,2003,118.2254035
AUT,24,2004,119.7703676
AUT,24,2005,121.2422361
AUT,24,2006,122.584086
AUT,24,2007,122.6067687
AUT,24,2008,NA
AUT,24,2009,NA
AUT,24,2010,.
AUT,24,2011,.
AUT,25,1995,100
AUT,25,1996,102.7469251
AUT,25,1997,106.1962561
AUT,25,1998,108.5991209
AUT,25,1999,110.5916779
AUT,25,2000,113.7181941
AUT,25,2001,115.2313559
AUT,25,2002,115.1199496
AUT,25,2003,115.7740334
AUT,25,2004,117.3459146
AUT,25,2005,118.4530286
AUT,25,2006,119.0145158
AUT,25,2007,118.5214451
AUT,25,2008,NA
AUT,25,2009,NA
AUT,25,2010,.
AUT,25,2011,.
AUT,26,1995,100
AUT,26,1996,102.7498612
AUT,26,1997,105.9841212
AUT,26,1998,108.7674132
AUT,26,1999,110.1162149
AUT,26,2000,113.4036317
AUT,26,2001,115.1246978
AUT,26,2002,113.7194594
AUT,26,2003,114.1610918
AUT,26,2004,117.3127376
AUT,26,2005,118.4847639
AUT,26,2006,119.1465152
AUT,26,2007,118.6071914
AUT,26,2008,NA
AUT,26,2009,NA
AUT,26,2010,.
AUT,26,2011,.
AUT,27t28,1995,100
AUT,27t28,1996,102.8299437
AUT,27t28,1997,106.4661638
AUT,27t28,1998,109.7046178
AUT,27t28,1999,110.7263509
AUT,27t28,2000,114.4115303
AUT,27t28,2001,116.0124301
AUT,27t28,2002,116.9582898
AUT,27t28,2003,119.9242601
AUT,27t28,2004,122.7937102
AUT,27t28,2005,124.7662378
AUT,27t28,2006,126.0996863
AUT,27t28,2007,126.4306041
AUT,27t28,2008,NA
AUT,27t28,2009,NA
AUT,27t28,2010,.
AUT,27t28,2011,.
AUT,29,1995,100
AUT,29,1996,101.726847
AUT,29,1997,103.8884786
AUT,29,1998,104.9295924
AUT,29,1999,104.3834619
AUT,29,2000,106.4274532
AUT,29,2001,106.3488021
AUT,29,2002,101.5513009
AUT,29,2003,99.90954382
AUT,29,2004,102.5984979
AUT,29,2005,101.4629184
AUT,29,2006,99.57731925
AUT,29,2007,97.29192401
AUT,29,2008,NA
AUT,29,2009,NA
AUT,29,2010,.
AUT,29,2011,.
AUT,30t33,1995,100
AUT,30t33,1996,101.8671842
AUT,30t33,1997,104.3565818
AUT,30t33,1998,105.8419952
AUT,30t33,1999,105.8107831
AUT,30t33,2000,107.4005837
AUT,30t33,2001,107.1685669
AUT,30t33,2002,99.43930973
AUT,30t33,2003,93.9884685
AUT,30t33,2004,96.37539536
AUT,30t33,2005,95.18334013
AUT,30t33,2006,93.66755608
AUT,30t33,2007,89.94083811
AUT,30t33,2008,NA
AUT,30t33,2009,NA
AUT,30t33,2010,.
AUT,30t33,2011,.
AUT,34t35,1995,100
AUT,34t35,1996,102.2297921
AUT,34t35,1997,105.197928
AUT,34t35,1998,107.3986631
AUT,34t35,1999,108.4020011
AUT,34t35,2000,111.2761532
AUT,34t35,2001,111.7414467
AUT,34t35,2002,112.7772768
AUT,34t35,2003,113.1588375
AUT,34t35,2004,117.3556531
AUT,34t35,2005,117.9013881
AUT,34t35,2006,117.4209982
AUT,34t35,2007,115.5794401
AUT,34t35,2008,NA
AUT,34t35,2009,NA
AUT,34t35,2010,.
AUT,34t35,2011,.
AUT,36t37,1995,100
AUT,36t37,1996,102.047535
AUT,36t37,1997,104.4050729
AUT,36t37,1998,105.7342884
AUT,36t37,1999,106.050134
AUT,36t37,2000,108.0643396
AUT,36t37,2001,108.9895125
AUT,36t37,2002,105.5501762
AUT,36t37,2003,102.7529125
AUT,36t37,2004,102.4719085
AUT,36t37,2005,101.328327
AUT,36t37,2006,99.62981167
AUT,36t37,2007,97.66966153
AUT,36t37,2008,NA
AUT,36t37,2009,NA
AUT,36t37,2010,.
AUT,36t37,2011,.
AUT,E,1995,100
AUT,E,1996,102.7195929
AUT,E,1997,106.5017534
AUT,E,1998,110.6622955
AUT,E,1999,112.636817
AUT,E,2000,116.6959558
AUT,E,2001,118.6496215
AUT,E,2002,121.09299
AUT,E,2003,122.0467005
AUT,E,2004,124.4418244
AUT,E,2005,127.5202027
AUT,E,2006,129.4149128
AUT,E,2007,130.0942352
AUT,E,2008,NA
AUT,E,2009,NA
AUT,E,2010,.
AUT,E,2011,.
AUT,F,1995,100
AUT,F,1996,102.218045
AUT,F,1997,104.5703675
AUT,F,1998,106.033882
AUT,F,1999,107.1473247
AUT,F,2000,109.8758234
AUT,F,2001,111.3426782
AUT,F,2002,111.4671912
AUT,F,2003,112.6020886
AUT,F,2004,113.5688872
AUT,F,2005,114.8281884
AUT,F,2006,117.249627
AUT,F,2007,119.0650538
AUT,F,2008,NA
AUT,F,2009,NA
AUT,F,2010,.
AUT,F,2011,.
AUT,50,1995,100
AUT,50,1996,102.0826703
AUT,50,1997,104.1242748
AUT,50,1998,104.9440121
AUT,50,1999,106.5001199
AUT,50,2000,108.7587007
AUT,50,2001,109.5889238
AUT,50,2002,110.8657674
AUT,50,2003,111.4122592
AUT,50,2004,112.1359
AUT,50,2005,113.2265729
AUT,50,2006,114.5829689
AUT,50,2007,115.8227936
AUT,50,2008,NA
AUT,50,2009,NA
AUT,50,2010,.
AUT,50,2011,.
AUT,51,1995,100
AUT,51,1996,97.48983578
AUT,51,1997,93.83780113
AUT,51,1998,85.2181032
AUT,51,1999,77.54860517
AUT,51,2000,77.41631882
AUT,51,2001,69.098318
AUT,51,2002,60.55416024
AUT,51,2003,54.62363776
AUT,51,2004,57.23984273
AUT,51,2005,53.12587406
AUT,51,2006,49.48733786
AUT,51,2007,45.93866018
AUT,51,2008,NA
AUT,51,2009,NA
AUT,51,2010,.
AUT,51,2011,.
AUT,52,1995,100
AUT,52,1996,98.92933009
AUT,52,1997,97.55671558
AUT,52,1998,91.2673307
AUT,52,1999,85.58360037
AUT,52,2000,85.76032182
AUT,52,2001,81.71563691
AUT,52,2002,74.58306057
AUT,52,2003,71.14719022
AUT,52,2004,68.64184978
AUT,52,2005,64.50073992
