iso_i,Code,year,real_k
AUT,E,2007,25760.88621
AUT,E,2008,NA
AUT,E,2009,NA
AUT,E,2010,.
AUT,E,2011,.
AUT,F,1995,15131.47413
AUT,F,1996,15197.09968
AUT,F,1997,15285.42895
AUT,F,1998,15364.57209
AUT,F,1999,15449.4563
AUT,F,2000,15463.15241
AUT,F,2001,15488.78362
AUT,F,2002,15352.85408
AUT,F,2003,15303.65046
AUT,F,2004,15157.25595
AUT,F,2005,15232.32438
AUT,F,2006,15138.3907
AUT,F,2007,15121.72422
AUT,F,2008,NA
AUT,F,2009,NA
AUT,F,2010,.
AUT,F,2011,.
AUT,50,1995,3636.25263
AUT,50,1996,3693.225589
AUT,50,1997,3774.255368
AUT,50,1998,3861.262007
AUT,50,1999,3898.186497
AUT,50,2000,3945.284646
AUT,50,2001,3985.920285
AUT,50,2002,4004.024224
AUT,50,2003,4037.588957
AUT,50,2004,4060.503982
AUT,50,2005,4077.463881
AUT,50,2006,4093.264226
AUT,50,2007,4095.5893
AUT,50,2008,NA
AUT,50,2009,NA
AUT,50,2010,.
AUT,50,2011,.
AUT,51,1995,12588.50544
AUT,51,1996,12791.11135
AUT,51,1997,13017.16298
AUT,51,1998,13401.28706
AUT,51,1999,13827.83767
AUT,51,2000,14283.8638
AUT,51,2001,15061.57583
AUT,51,2002,15635.07606
AUT,51,2003,16031.43142
AUT,51,2004,16238.92128
AUT,51,2005,16549.35892
